court_type,category,2009,2014,2017,2018,nature,
U.S. Courts of Appeals,Cases Filed,"60,358","55,623","58,951","49,363",NaN,
U.S. Courts of Appeals,Cases Terminated,"59,604","56,354","59,040","51,832",NaN,
U.S. Courts of Appeals,Cases Pending,"50,946","41,624","40,799","38,330",NaN,
U.S. District Courts,Cases Filed,"258,535","303,820","292,076","277,010",civil,
U.S. District Courts,Cases Terminated,"238,640","260,840","287,114","286,969",civil,
U.S. District Courts,Cases Pending,"302,808","323,441","349,272","339,313",civil,
U.S. District Courts, Defendants Filed,"95,736","86,705","75,861","81,553",criminal,
U.S. District Courts, Defendant Terminations,"95,233","89,622","75,514","76,589",criminal,
U.S. District Courts, Defendants Pending,"104,403","103,099","97,411","102,731",criminal,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
